att_date,[01]usi_id,[01]grade_level,[156]att_code,[156]description,Campus
8/25/2014,9695983863,0,P,Present and On Time,MS
8/25/2014,3194579371,0,P,Present and On Time,MS
8/25/2014,7782939518,0,P,Present and On Time,MS
8/25/2014,6885615897,0,P,Present and On Time,MS
8/25/2014,4186458847,0,P,Present and On Time,MS
8/25/2014,4118491591,0,P,Present and On Time,MS
8/25/2014,3786793573,0,P,Present and On Time,MS
8/25/2014,3936885147,0,P,Present and On Time,MS
8/25/2014,6725276431,0,P,Present and On Time,MS
8/25/2014,5479174924,0,P,Present and On Time,MS
8/25/2014,5143856248,0,P,Present and On Time,MS
8/25/2014,1493697269,0,P,Present and On Time,MS
8/25/2014,4898152252,0,P,Present and On Time,MS
8/25/2014,5912292894,0,P,Present and On Time,MS
8/25/2014,1825843414,0,P,Present and On Time,MS
8/25/2014,9482276841,0,,DO NOT USE,MS
8/25/2014,1679932438,0,P,Present and On Time,MS
8/25/2014,8886473770,0,P,Present and On Time,MS
8/25/2014,5987622816,0,P,Present and On Time,MS
8/25/2014,9149513656,0,P,Present and On Time,MS
8/25/2014,6362734683,0,P,Present and On Time,MS
8/25/2014,4551522449,0,P,Present and On Time,MS
8/25/2014,3590592788,0,P,Present and On Time,MS
8/25/2014,2344114319,0,P,Present and On Time,MS
8/25/2014,7399167435,0,,DO NOT USE,MS
8/25/2014,4279257264,0,P,Present and On Time,MS
8/25/2014,3841464572,0,P,Present and On Time,MS
8/25/2014,1981166424,0,P,Present and On Time,MS
8/25/2014,3829955936,0,P,Present and On Time,MS
8/25/2014,3139406902,0,P,Present and On Time,MS
8/25/2014,5357739536,0,P,Present and On Time,MS
8/25/2014,7968172072,0,P,Present and On Time,MS
8/25/2014,8692727237,0,P,Present and On Time,MS
8/25/2014,5224599415,0,P,Present and On Time,MS
8/25/2014,4897147441,0,P,Present and On Time,MS
8/25/2014,6953682728,0,P,Present and On Time,MS
8/25/2014,1696728711,0,P,Present and On Time,MS
8/25/2014,4288378591,0,P,Present and On Time,MS
8/25/2014,8553458275,0,P,Present and On Time,MS
8/25/2014,1695785274,0,P,Present and On Time,MS
8/25/2014,7693995196,0,P,Present and On Time,MS
8/25/2014,9271563166,0,P,Present and On Time,MS
8/25/2014,8397491643,0,P,Present and On Time,MS
8/25/2014,1845511972,0,P,Present and On Time,MS
8/25/2014,2612598952,0,P,Present and On Time,MS
8/25/2014,2413481141,0,P,Present and On Time,MS
8/25/2014,1694927385,0,P,Present and On Time,MS
8/25/2014,4356591569,0,,DO NOT USE,MS
8/25/2014,2378281943,0,P,Present and On Time,MS
8/25/2014,5987369371,0,P,Present and On Time,MS
8/25/2014,2325967581,0,X,Excused Absent,MS
8/25/2014,2698893656,0,P,Present and On Time,MS
8/25/2014,5941692579,0,P,Present and On Time,MS
8/25/2014,8632357913,0,P,Present and On Time,MS
